chrom	start	end	strand	type	Name	intron_type
chrIX	348364	348494	-	intron	YIL004C_intron	spliceosomal_intron
chrX	4582	4969	-	intron	YJL225C_intron	spliceosomal_intron
chrX	50269	50411	-	intron	YJL205C_intron	spliceosomal_intron
chrX	73797	74204	+	intron	YJL191W_intron	spliceosomal_intron
chrX	75939	76324	+	intron	YJL189W_intron	spliceosomal_intron
chrX	91095	91411	+	intron	YJL177W_intron	spliceosomal_intron
chrX	156790	157249	-	intron	YJL136C_intron	spliceosomal_intron
chrX	172433	172752	-	five_prime_UTR_intron	YJL130C_five_prime_UTR_intron	spliceosomal_intron
chrX	354283	354296	+	intron	tY(GUA)J1_intron	tRNA_intron
chrX	365785	365902	+	intron	YJL041W_intron	spliceosomal_intron
chrX	387349	387435	-	intron	YJL031C_intron	spliceosomal_intron
chrX	396494	396570	-	intron	YJL024C_intron	spliceosomal_intron
chrX	415967	416000	-	intron	tW(CCA)J_intron	tRNA_intron
chrX	435228	435343	+	intron	YJL001W_intron	spliceosomal_intron
chrX	469184	469263	-	intron	YJR021C_intron	spliceosomal_intron
chrX	542992	543005	-	intron	tY(GUA)J2_intron	tRNA_intron
chrX	580348	581052	+	intron	YJR079W_intron	spliceosomal_intron
chrX	608307	608581	+	intron	YJR094W-A_intron	spliceosomal_intron
chrX	617957	617975	+	intron	tL(UAG)J_intron	tRNA_intron
chrX	637810	637858	+	intron	YJR112W-A_intron	spliceosomal_intron
chrX	702799	703054	-	intron	YJR145C_intron	spliceosomal_intron
chrXI	82999	83074	+	intron	YKL190W_intron	spliceosomal_intron
chrXI	93312	93465	-	five_prime_UTR_intron	YKL186C_five_prime_UTR_intron	spliceosomal_intron
chrXI	109578	109883	+	intron	YKL180W_intron	spliceosomal_intron
chrXI	155272	155654	+	intron	YKL157W_intron	spliceosomal_intron
chrXI	158616	158966	+	intron	YKL156W_intron	spliceosomal_intron
chrXI	166400	166487	+	five_prime_UTR_intron	YKL150W_five_prime_UTR_intron	spliceosomal_intron
chrXI	283096	283421	+	intron	YKL081W_intron	spliceosomal_intron
chrXI	302954	302987	+	intron	tW(CCA)K_intron	tRNA_intron
chrXI	430456	430596	-	intron	YKL006C-A_intron	spliceosomal_intron
chrXI	432035	432432	+	intron	YKL006W_intron	spliceosomal_intron
chrXI	437838	437905	+	intron	YKL002W_intron	spliceosomal_intron
chrXI	447707	447810	-	intron	YKR004C_intron	spliceosomal_intron
chrXI	449952	450020	-	intron	YKR005C_intron	spliceosomal_intron
chrXI	458595	458626	+	intron	tL(CAA)K_intron	tRNA_intron
chrXI	551681	552002	+	intron	YKR057W_intron	spliceosomal_intron
chrXI	579002	579024	+	intron	tK(UUU)K_intron	tRNA_intron
chrXI	618375	618742	-	intron	YKR094C_intron	spliceosomal_intron
chrXI	625902	625976	+	intron	YKR095W-A_intron	spliceosomal_intron
chrXII	3916	4014	-	intron	YLL067C_intron	spliceosomal_intron
chrXII	9451	9549	-	intron	YLL066C_intron	spliceosomal_intron
chrXII	40222	40400	-	intron	YLL050C_intron	spliceosomal_intron
chrXII	92584	92614	+	intron	tP(UGG)L_intron	tRNA_intron
chrXII	242322	242680	+	intron	YLR048W_intron	spliceosomal_intron
chrXII	250861	250947	-	intron	YLR054C_intron	spliceosomal_intron
chrXII	263206	263594	+	intron	YLR061W_intron	spliceosomal_intron
chrXII	286468	286556	-	intron	YLR078C_intron	spliceosomal_intron
chrXII	327259	327399	-	intron	YLR093C_intron	spliceosomal_intron
chrXII	398533	398626	+	intron	YLR128W_intron	spliceosomal_intron
chrXII	522670	523028	+	intron	YLR185W_intron	spliceosomal_intron
chrXII	548678	548763	-	intron	YLR199C_intron	spliceosomal_intron
chrXII	550459	550574	-	intron	YLR202C_intron	spliceosomal_intron
chrXII	564455	564513	-	intron	YLR211C_intron	spliceosomal_intron
chrXII	592563	592581	-	intron	tL(UAG)L1_intron	tRNA_intron
chrXII	605336	605395	-	intron	tI(UAU)L_intron	tRNA_intron
chrXII	628421	628453	+	intron	tL(CAA)L_intron	tRNA_intron
chrXII	694383	694472	+	intron	YLR275W_intron	spliceosomal_intron
chrXII	712726	713155	-	intron	YLR287C-A_intron	spliceosomal_intron
chrXII	732128	732146	+	intron	tL(UAG)L2_intron	tRNA_intron
chrXII	744154	744287	+	intron	YLR306W_intron	spliceosomal_intron
chrXII	766074	766129	-	intron	YLR316C_intron	spliceosomal_intron
chrXII	766182	766249	-	intron	YLR316C_intron	spliceosomal_intron
chrXII	784390	784409	+	intron	tX(XXX)L_intron	tRNA_intron
chrXII	786616	786712	+	intron	YLR329W_intron	spliceosomal_intron
chrXII	795913	796335	-	five_prime_UTR_intron	YLR333C_five_prime_UTR_intron	spliceosomal_intron
chrXII	819331	819777	+	intron	YLR344W_intron	spliceosomal_intron
chrXII	855878	856434	+	five_prime_UTR_intron	YLR367W_five_prime_UTR_intron	spliceosomal_intron
chrXII	856575	857057	+	intron	YLR367W_intron	spliceosomal_intron
chrXII	875413	875435	+	intron	tK(UUU)L_intron	tRNA_intron
chrXII	898158	898645	+	five_prime_UTR_intron	YLR388W_five_prime_UTR_intron	spliceosomal_intron
chrXII	931350	931698	-	intron	YLR406C_intron	spliceosomal_intron
chrXII	987142	987212	+	intron	YLR426W_intron	spliceosomal_intron
chrXII	1024573	1024654	+	intron	YLR445W_intron	spliceosomal_intron
chrXII	1028869	1029252	+	intron	YLR448W_intron	spliceosomal_intron
chrXII	1067085	1067363	+	intron	YLR464W_intron	spliceosomal_intron
chrXIII	3792	3890	-	intron	YML133C_intron	spliceosomal_intron
chrXIII	23361	23658	-	intron	YML124C_intron	spliceosomal_intron
chrXIII	82291	82373	+	intron	YML094W_intron	spliceosomal_intron
chrXIII	99260	99375	-	intron	YML085C_intron	spliceosomal_intron
chrXIII	123743	124157	-	intron	YML073C_intron	spliceosomal_intron
chrXIII	140091	140183	-	intron	YML067C_intron	spliceosomal_intron
chrXIII	163309	163716	-	intron	YML056C_intron	spliceosomal_intron
chrXIII	168834	168847	+	intron	tY(GUA)M1_intron	tRNA_intron
chrXIII	196104	196134	-	intron	tP(UGG)M_intron	tRNA_intron
chrXIII	206098	206203	+	intron	YML036W_intron	spliceosomal_intron
chrXIII	211445	211570	+	intron	YML034W_intron	spliceosomal_intron
chrXIII	223381	223781	-	intron	YML026C_intron	spliceosomal_intron
chrXIII	225240	225338	-	intron	YML025C_intron	spliceosomal_intron
chrXIII	225892	226289	+	intron	YML024W_intron	spliceosomal_intron
chrXIII	236592	236953	+	intron	YML017W_intron	spliceosomal_intron
chrXIII	337818	337903	+	intron	YMR033W_intron	spliceosomal_intron
chrXIII	352317	352334	+	intron	tF(GAA)M_intron	tRNA_intron
chrXIII	379339	379372	-	intron	tW(CCA)M_intron	tRNA_intron
chrXIII	424998	425153	+	intron	YMR079W_intron	spliceosomal_intron
chrXIII	499879	500151	-	intron	YMR116C_intron	spliceosomal_intron
chrXIII	504933	504964	+	intron	tL(CAA)M_intron	tRNA_intron
chrXIII	517564	517885	+	intron	YMR125W_intron	spliceosomal_intron
chrXIII	537449	537564	+	intron	YMR133W_intron	spliceosomal_intron
chrXIII	550802	551203	-	intron	YMR142C_intron	spliceosomal_intron
chrXIII	551952	552495	+	intron	YMR143W_intron	spliceosomal_intron
chrXIII	651161	651623	+	intron	YMR194W_intron	spliceosomal_intron
chrXIII	652776	652847	-	intron	YMR194C-B_intron	spliceosomal_intron
chrXIII	666934	667017	-	intron	YMR201C_intron	spliceosomal_intron
chrXIII	721199	721345	-	intron	YMR225C_intron	spliceosomal_intron
chrXIII	732466	732875	+	intron	YMR230W_intron	spliceosomal_intron
chrXIII	753743	754219	-	intron	YMR242C_intron	spliceosomal_intron
chrXIII	837967	837980	+	intron	tY(GUA)M2_intron	tRNA_intron
chrXIII	854817	854898	+	intron	YMR292W_intron	spliceosomal_intron
chrXIV	5932	6079	-	intron	YNL339C_intron	spliceosomal_intron
chrXIV	48294	48401	+	intron	YNL312W_intron	spliceosomal_intron
chrXIV	62373	62923	-	intron	YNL302C_intron	spliceosomal_intron
chrXIV	64019	64450	-	intron	YNL301C_intron	spliceosomal_intron
chrXIV	145150	145254	-	intron	YNL265C_intron	spliceosomal_intron
chrXIV	185492	185586	+	intron	YNL246W_intron	spliceosomal_intron
chrXIV	331326	331837	+	intron	YNL162W_intron	spliceosomal_intron
chrXIV	350958	351053	+	intron	YNL147W_intron	spliceosomal_intron
chrXIV	366036	366157	+	intron	YNL138W-A_intron	spliceosomal_intron
chrXIV	374906	374923	+	intron	tF(GAA)N_intron	tRNA_intron
chrXIV	380690	380781	-	intron	YNL130C_intron	spliceosomal_intron
chrXIV	414912	415913	+	intron	YNL112W_intron	spliceosomal_intron
chrXIV	443044	443075	+	intron	tL(CAA)N_intron	tRNA_intron
chrXIV	443827	444171	-	intron	YNL096C_intron	spliceosomal_intron
chrXIV	494525	494973	-	intron	YNL069C_intron	spliceosomal_intron
chrXIV	501157	501502	+	five_prime_UTR_intron	YNL066W_five_prime_UTR_intron	spliceosomal_intron
chrXIV	534875	534965	-	intron	YNL050C_intron	spliceosomal_intron
chrXIV	545292	545370	+	intron	YNL044W_intron	spliceosomal_intron
chrXIV	547130	547160	+	intron	tP(UGG)N1_intron	tRNA_intron
chrXIV	557611	557684	+	intron	YNL038W_intron	spliceosomal_intron
chrXIV	568151	568181	+	intron	tP(UGG)N2_intron	tRNA_intron
chrXIV	609791	609874	+	intron	YNL012W_intron	spliceosomal_intron
chrXIV	622945	623286	+	intron	YNL004W_intron	spliceosomal_intron
chrXIV	721771	722302	-	intron	YNR053C_intron	spliceosomal_intron
chrXV	80361	80774	+	intron	YOL127W_intron	spliceosomal_intron
chrXV	92441	92830	-	intron	YOL121C_intron	spliceosomal_intron
chrXV	93844	94290	-	intron	YOL120C_intron	spliceosomal_intron
chrXV	240948	241025	-	intron	YOL048C_intron	spliceosomal_intron
chrXV	242442	242504	-	intron	YOL047C_intron	spliceosomal_intron
chrXV	274710	274728	+	intron	tS(GCU)O_intron	tRNA_intron
chrXV	288231	288244	+	intron	tY(GUA)O_intron	tRNA_intron
chrXV	301133	301162	+	intron	tP(UGG)O1_intron	tRNA_intron
chrXV	438680	438702	+	intron	tK(UUU)O_intron	tRNA_intron
chrXV	464486	464515	+	intron	tP(UGG)O2_intron	tRNA_intron
chrXV	505938	506338	+	intron	YOR096W_intron	spliceosomal_intron
chrXV	552666	552874	-	intron	YOR122C_intron	spliceosomal_intron
chrXV	678380	678790	-	intron	YOR182C_intron	spliceosomal_intron
chrXV	778860	779386	-	intron	YOR234C_intron	spliceosomal_intron
chrXV	780121	780277	+	intron	snR17a_intron	spliceosomal_intron
chrXV	867150	867586	+	intron	YOR293W_intron	spliceosomal_intron
chrXV	900768	901193	-	intron	YOR312C_intron	spliceosomal_intron
chrXV	912086	912432	-	intron	YOR318C_intron	spliceosomal_intron
chrXV	980719	980751	+	intron	tP(UGG)O3_intron	tRNA_intron
chrXVI	5841	5988	-	intron	YPL283C_intron	spliceosomal_intron
chrXVI	56205	56238	-	intron	tW(CCA)P_intron	tRNA_intron
chrXVI	75986	76223	-	intron	YPL249C-A_intron	spliceosomal_intron
chrXVI	96154	96233	-	intron	YPL241C_intron	spliceosomal_intron
chrXVI	115219	115293	+	five_prime_UTR_intron	YPL230W_five_prime_UTR_intron	spliceosomal_intron
chrXVI	138726	138864	+	intron	YPL218W_intron	spliceosomal_intron
chrXVI	173163	173571	+	intron	YPL198W_intron	spliceosomal_intron
chrXVI	173666	174072	+	intron	YPL198W_intron	spliceosomal_intron
chrXVI	218647	218746	+	intron	YPL175W_intron	spliceosomal_intron
chrXVI	281374	281503	-	intron	snR17b_intron	spliceosomal_intron
chrXVI	282141	282665	+	intron	YPL143W_intron	spliceosomal_intron
chrXVI	305307	305411	+	intron	YPL129W_intron	spliceosomal_intron
chrXVI	345445	345596	-	intron	YPL109C_intron	spliceosomal_intron
chrXVI	377996	378389	-	intron	YPL090C_intron	spliceosomal_intron
chrXVI	404957	405457	+	intron	YPL081W_intron	spliceosomal_intron
chrXVI	406647	407067	+	intron	YPL079W_intron	spliceosomal_intron
chrXVI	412262	413012	+	intron	YPL075W_intron	spliceosomal_intron
chrXVI	492919	493020	-	intron	YPL031C_intron	spliceosomal_intron
chrXVI	560234	560252	-	intron	tF(GAA)P1_intron	tRNA_intron
chrXVI	582559	582701	-	intron	YPR010C-A_intron	spliceosomal_intron
chrXVI	622576	622594	-	intron	tF(GAA)P2_intron	tRNA_intron
chrXVI	623578	623710	+	intron	YPR028W_intron	spliceosomal_intron
chrXVI	654168	654570	+	intron	YPR043W_intron	spliceosomal_intron
chrXVI	678194	678279	-	intron	YPR063C_intron	spliceosomal_intron
chrXVI	729386	729481	-	intron	YPR098C_intron	spliceosomal_intron
chrXVI	769243	769265	-	intron	tK(UUU)P_intron	tRNA_intron
chrXVI	795030	795394	+	intron	YPR132W_intron	spliceosomal_intron
chrXVI	833694	833827	+	intron	YPR153W_intron	spliceosomal_intron
chrXVI	883388	883486	+	intron	YPR170W-B_intron	spliceosomal_intron
chrXVI	911277	911352	+	intron	YPR187W_intron	spliceosomal_intron
chrXVI	943051	943198	+	intron	YPR202W_intron	spliceosomal_intron
chrmt	13987	16434	+	intron	Q0055_intron	mitochondrial_mRNA_intron
chrmt	13987	16434	+	intron	Q0060_intron	mitochondrial_mRNA_intron
chrmt	16471	18953	+	intron	Q0060_intron	mitochondrial_mRNA_intron
chrmt	13987	16434	+	intron	Q0065_intron	mitochondrial_mRNA_intron
chrmt	16471	18953	+	intron	Q0065_intron	mitochondrial_mRNA_intron
chrmt	18992	20507	+	intron	Q0065_intron	mitochondrial_mRNA_intron
chrmt	13987	16434	+	intron	Q0070_intron	mitochondrial_mRNA_intron
chrmt	16471	18953	+	intron	Q0070_intron	mitochondrial_mRNA_intron
chrmt	18992	20507	+	intron	Q0070_intron	mitochondrial_mRNA_intron
chrmt	20985	21994	+	intron	Q0070_intron	mitochondrial_mRNA_intron
